,Annual return,Cumulative return,Annual volatility,Max drawdown,Alpha,A.pvalue,Beta,B.pvalue
1177609_2018-03-21_2018-07-27,1.7366300268866834,1.4326780356842943,0.050301832803087955,-0.10877418540326622,0.011777459197167328,0.18823270563195463,0.9220170643248371,0.01621492754439722
1177609_2018-03-06_2018-07-12,1.5625522737738837,1.3994408523083648,0.04914258779707017,-0.08262847885754243,0.012675359176662404,0.15951450662734126,0.7636768095598699,0.035527436456688946
1177609_2018-01-08_2018-05-16,0.35638171418252673,1.1150112760063224,0.029197550757340852,-0.09072231166612943,0.0018879386278771726,0.6923545415849375,0.6987172080679696,1.780583977751328e-05
1177609_2017-11-30_2018-04-11,0.8168760553742032,1.2377022460851363,0.03571560744126577,-0.14730177385524912,0.006672379313639176,0.25861552668309634,0.7987296967348805,6.872681004154544e-05
1177609_2017-08-30_2018-01-08,1.3597738637031762,1.358838975567587,0.029973593796558375,-0.07833153206519783,0.005567287404470989,0.3127933130131284,1.0064725135418995,0.05199227238107082
1177609_2017-06-22_2017-10-27,0.45662935640983515,1.143770653599756,0.02718200057193353,-0.08729993218230081,0.0022021812499977145,0.6460565272025458,0.7313277201337136,0.0705594075892814
1177609_2017-06-01_2017-10-06,0.3145249603837408,1.1025986128600747,0.028948150991663552,-0.1488477041524221,0.0012885575456704768,0.7987674610369064,0.7936265949540893,0.06465661788197918
1177609_2017-05-11_2017-09-18,-0.09875034273646255,0.9635477785634388,0.027427049442008238,-0.1488477041524222,-0.0019960758273815937,0.6792603390746835,0.6950738629172171,0.06424227150268834
1177609_2017-03-22_2017-07-28,0.8403006611630766,1.2433778788182877,0.032691906815043206,-0.148847704152422,0.005293503925136056,0.3408386852734897,0.5459633362512006,0.2623118990339404
1177609_2017-01-09_2017-05-17,1.2402589602362832,1.3338485107252744,0.03572987683235174,-0.09336547311586518,0.011476619998130655,0.06320391758476272,-0.39618999903886476,0.49107277224619783
1177609_2016-12-01_2017-04-11,0.44649673957828484,1.1409227377473186,0.043095166402874335,-0.15260033310730026,0.006383431918677296,0.41280288773305274,-0.2879006160498935,0.6888040938197539
1177609_2016-08-31_2017-01-09,-0.3203130526526272,0.8711848855124283,0.038980588421986775,-0.20780973632960664,-0.006621291542501351,0.3180779278704133,0.9902272375014713,0.010453473758881515
1177609_2016-06-27_2016-11-01,-0.4510073382832198,0.8072128183344617,0.0311792858121544,-0.3038364882603737,-0.00813215309970472,0.09942964024316792,1.1606884826546064,0.00030032698419887215
1177609_2016-06-02_2016-10-07,-0.1449093331068252,0.9456243150681891,0.029814425152749603,-0.24214377900966322,-0.003847077206361016,0.398961320414308,0.869191731946177,0.0003852601669174829
1177609_2016-05-13_2016-09-20,0.17375310924056375,1.0588851100212224,0.031732820719871165,-0.22151529015564753,-0.0021888799176479345,0.6675301331606274,0.9005281344108211,0.000869116024626139
1177609_2016-05-04_2016-09-09,0.012290172143763156,1.0043721232251979,0.03255301765049854,-0.2028147421321227,-0.0026519458787021,0.6055439549696814,0.8989291867391602,0.001269477019951705
1177609_2016-03-22_2016-07-28,1.0746606077681533,1.2977629728155007,0.03352035448823535,-0.14153986257417095,0.006069193978318177,0.29012675553042283,0.7519484880278416,0.011277795633498976
1177609_2016-03-17_2016-07-25,1.0461372488231184,1.2913623762672999,0.033433652354481154,-0.14153986257417073,0.005875043522184598,0.3047562854053909,0.7630449665854386,0.010653016107817553
1177609_2016-01-07_2016-05-16,0.49631620913380736,1.1548041879310773,0.0345718608492159,-0.11917938811307494,0.003235958692732188,0.5612536864032651,0.9301625668584128,1.1121399771152382e-05
