conml,weburl
QEP Resources Inc,www.qepres.com
Genworth Financial Inc,www.genworth.com
Assurant Inc.,www.assurant.com
salesforce.com Inc,www.salesforce.com
Syniverse Holdings Inc -Old,www.syniverse.com
Hospira Inc,www.hospira.com
Mastercard Inc,www.mastercard.com
NAVTEQ Corp,www.here.com
Alphabet Inc,www.abc.xyz
Morningstar Inc,www.morningstar.com
Cogent Inc,www.3m.com
Westlake Chemical Corp,www.westlake.com
Signature Bank,www.signatureny.com
DreamWorks Animation SKG Inc,www.dreamworksanimation.com
Mattress Firm Holding Corp,www.mattressfirm.com
Las Vegas Sands Corp,www.sands.com
Kearny Financial Corp,www.kearnybank.com
Mosaic Company (The),www.mosaicco.com
IHS Markit Ltd,www.ihsmarkit.com
Celanese Corp,www.celanese.com
Dolby Laboratories Inc,www.dolby.com
Huntsman Corp,www.huntsman.com
Intercontinental Exchange Inc,www.intercontinentalexchange.com
NeuStar Inc,www.home.neustar
ITC Holdings Corp,www.itc-holdings.com
Cooper-Standard Holdings Inc,www.cooperstandard.com
CF Industries Holdings Inc,www.cfindustries.com
Hittite Microwave Corp,www.hittite.com
Dresser-Rand Group Inc,www.dresser-rand.com
Williams Scotsman International Inc,www.willscot.com
TreeHouse Foods Inc,www.treehousefoods.com
Discovery Inc,corporate.discovery.com
Investors Bancorp Inc,www.myinvestorsbank.com
Restaurant Brands International Inc,www.rbi.com
Spirit Aerosystems Holdings Inc,www.spiritaero.com
Ameriprise Financial Inc,www.ameriprise.com
Under Armour Inc,www.underarmour.com
Leidos Holdings Inc,www.leidos.com
Delta Tucker Holdings Inc,www.dyn-intl.com
Viacom Inc,www.viacom.com
Embarq Corp,www.embarq.com
Palo Alto Networks Inc,www.paloaltonetworks.com
Chipotle Mexican Grill Inc,www.chipotle.com
Fidelity National Information Services Inc,www.fisglobal.com
Mueller Water Products Inc,www.muellerwaterproducts.com
NYSE Euronext,beta.nyse.com
Symetra Financial Corp,www.symetra.com
Infoblox Inc,www.infoblox.com
Diamondback Energy Inc,www.diamondbackenergy.com
